category_name,mean_correlation
bus,0.5613684327949947
train,0.5217893627514875
horse,0.521484118004829
aeroplane,0.5175468995879211
cow,0.49793230011045164
motorbike,0.494612714980846
car,0.48716882722311716
dog,0.46973141908940874
sheep,0.4691416319011604
person,0.46227257161728036
bird,0.46158713208861935
bicycle,0.4541817681915494
bottle,0.445001396903839
cat,0.44402192584041844
diningtable,0.44246337198637736
boat,0.4258880367614111
chair,0.4136349684303228
sofa,0.3806789621549455
pottedplant,0.37861748850271537
tvmonitor,0.3713158596829928
Overall,0.45877056254371235
Time-Taken,716sec
