category_name,mean_correlation
diningtable,0.4847048379640718
bottle,0.3793907594705246
horse,0.3639189737188602
chair,0.32887492221943365
sofa,0.3079664800973136
cow,0.29770326308711664
person,0.2787048720124523
sheep,0.276792654890024
bird,0.27399124460685725
motorbike,0.27342810753471924
dog,0.27204931554219697
pottedplant,0.26227159701826097
cat,0.26117565395258463
tvmonitor,0.25924700133407913
bus,0.20908419774024017
car,0.2073939056010292
bicycle,0.18950061111833702
aeroplane,0.1866247739326504
train,0.12992346118009832
boat,0.09235733421152723
Overall,0.27335040053669474
Time-Taken, 349sec
